anio,localidad,cantidad
2020,ANTONIO NARIÑO,1010
2020,BARRIOS UNIDOS,1842
2020,BOSA,2309
2020,CANDELARIA,305
2020,CHAPINERO,1807
2020,CIUDAD BOLIVAR,2446
2020,ENGATIVA,4204
2020,FONTIBON,3419
2020,KENNEDY,5895
2020,LOS MARTIRES,1411
2020,PUENTE ARANDA,3269
2020,RAFAEL URIBE URIBE,1610
2020,SAN CRISTOBAL,1320
2020,SANTA FE,1096
2020,SUBA,4616
2020,SUMAPAZ,0
2020,TEUSAQUILLO,1782
2020,TUNJUELITO,1450
2020,USAQUEN,3199
2020,USME,1059
2021,ANTONIO NARIÑO,654
2021,BARRIOS UNIDOS,1218
2021,BOSA,1519
2021,CANDELARIA,132
2021,CHAPINERO,1155
2021,CIUDAD BOLIVAR,1306
2021,ENGATIVA,3018
2021,FONTIBON,2332
2021,KENNEDY,3904
2021,LOS MARTIRES,956
2021,PUENTE ARANDA,2240
2021,RAFAEL URIBE URIBE,1039
2021,SAN CRISTOBAL,936
2021,SANTA FE,756
2021,SUBA,2731
2021,SUMAPAZ,1
2021,TEUSAQUILLO,1259
2021,TUNJUELITO,837
2021,USAQUEN,2212
2021,USME,649
2022,ANTONIO NARIÑO,494
2022,BARRIOS UNIDOS,1226
2022,BOSA,1426
2022,CANDELARIA,177
2022,CHAPINERO,1110
2022,CIUDAD BOLIVAR,1074
2022,ENGATIVA,2842
2022,FONTIBON,2105
2022,KENNEDY,3291
2022,LOS MARTIRES,943
2022,PUENTE ARANDA,1664
2022,RAFAEL URIBE URIBE,889
2022,SAN CRISTOBAL,790
2022,SANTA FE,751
2022,SUBA,2478
2022,SUMAPAZ,3
2022,TEUSAQUILLO,1292
2022,TUNJUELITO,706
2022,USAQUEN,1614
2022,USME,571
2023,ANTONIO NARIÑO,320
2023,BARRIOS UNIDOS,504
2023,BOSA,924
2023,CANDELARIA,106
2023,CHAPINERO,446
2023,CIUDAD BOLIVAR,778
2023,ENGATIVA,1343
2023,FONTIBON,854
2023,KENNEDY,2060
2023,LOS MARTIRES,524
2023,PUENTE ARANDA,1023
2023,RAFAEL URIBE URIBE,623
2023,SAN CRISTOBAL,584
2023,SANTA FE,480
2023,SUBA,1326
2023,SUMAPAZ,1
2023,TEUSAQUILLO,623
2023,TUNJUELITO,455
2023,USAQUEN,674
2023,USME,467
2024,ANTONIO NARIÑO,317
2024,BARRIOS UNIDOS,492
2024,BOSA,910
2024,CANDELARIA,105
2024,CHAPINERO,503
2024,CIUDAD BOLIVAR,761
2024,ENGATIVA,1267
2024,FONTIBON,871
2024,KENNEDY,1997
2024,LOS MARTIRES,502
2024,PUENTE ARANDA,1037
2024,RAFAEL URIBE URIBE,617
2024,SAN CRISTOBAL,603
2024,SANTA FE,538
2024,SUBA,1276
2024,SUMAPAZ,1
2024,TEUSAQUILLO,569
2024,TUNJUELITO,440
2024,USAQUEN,736
2024,USME,476
2025,ANTONIO NARIÑO,295
2025,BARRIOS UNIDOS,436
2025,BOSA,763
2025,CANDELARIA,83
2025,CHAPINERO,400
2025,CIUDAD BOLIVAR,725
2025,ENGATIVA,1062
2025,FONTIBON,880
2025,KENNEDY,1679
2025,LOS MARTIRES,447
2025,PUENTE ARANDA,962
2025,RAFAEL URIBE URIBE,514
2025,SAN CRISTOBAL,491
2025,SANTA FE,431
2025,SUBA,1156
2025,SUMAPAZ,0
2025,TEUSAQUILLO,525
2025,TUNJUELITO,408
2025,USAQUEN,634
2025,USME,486
