anio,mes,cantidad
2020,ENERO,4473
2020,FEBRERO,5499
2020,MARZO,3651
2020,ABRIL,1328
2020,MAYO,2217
2020,JUNIO,2947
2020,JULIO,3181
2020,AGOSTO,3178
2020,SEPTIEMBRE,3971
2020,OCTUBRE,4459
2020,NOVIEMBRE,4517
2020,DICIEMBRE,4628
2021,ENERO,1503
2021,FEBRERO,2027
2021,MARZO,2600
2021,ABRIL,1944
2021,MAYO,2032
2021,JUNIO,2345
2021,JULIO,2426
2021,AGOSTO,2514
2021,SEPTIEMBRE,2752
2021,OCTUBRE,2993
2021,NOVIEMBRE,2915
2021,DICIEMBRE,2803
2022,ENERO,2036
2022,FEBRERO,2361
2022,MARZO,2772
2022,ABRIL,2459
2022,MAYO,2626
2022,JUNIO,2566
2022,JULIO,2425
2022,AGOSTO,2219
2022,SEPTIEMBRE,2174
2022,OCTUBRE,1371
2022,NOVIEMBRE,1216
2022,DICIEMBRE,1221
2023,ENERO,1074
2023,FEBRERO,1220
2023,MARZO,1249
2023,ABRIL,1122
2023,MAYO,1212
2023,JUNIO,1232
2023,JULIO,1138
2023,AGOSTO,1214
2023,SEPTIEMBRE,1211
2023,OCTUBRE,1128
2023,NOVIEMBRE,1182
2023,DICIEMBRE,1133
2024,ENERO,1052
2024,FEBRERO,1140
2024,MARZO,1214
2024,ABRIL,1199
2024,MAYO,1207
2024,JUNIO,1048
2024,JULIO,1140
2024,AGOSTO,1196
2024,SEPTIEMBRE,1230
2024,OCTUBRE,1264
2024,NOVIEMBRE,1124
2024,DICIEMBRE,1204
2025,ENERO,1016
2025,FEBRERO,1101
2025,MARZO,1130
2025,ABRIL,1061
2025,MAYO,1016
2025,JUNIO,857
2025,JULIO,954
2025,AGOSTO,1077
2025,SEPTIEMBRE,1131
2025,OCTUBRE,1058
2025,NOVIEMBRE,977
2025,DICIEMBRE,999
