anio,n_total,n_solo_danos,n_con_heridos,n_con_muertos,pct_con_heridos,pct_con_muertos,ratio_heridos_danos
2016,63655,43014,19512,1129,30.65,1.77,0.4536
2017,64617,44307,19233,1077,29.76,1.67,0.4341
2018,66531,42770,22764,997,34.22,1.5,0.5322
2019,65026,41075,22970,981,35.32,1.51,0.5592
2020,44049,26797,16589,663,37.66,1.51,0.6191
2021,28854,17386,11006,462,38.14,1.6,0.633
2022,25446,12555,12351,540,48.54,2.12,0.9838
2023,14115,1115,12454,546,88.23,3.87,11.1695
2024,14018,1044,12391,583,88.39,4.16,11.8688
2025,12377,801,10994,582,88.83,4.7,13.7253
