lat_grid,lon_grid,n_acc_viales,pct_semaforo,pct_asfalto,pct_iluminacion,semaforo_modal,superficie_modal,iluminacion_modal,carriles_mediana,estado_modal
4.506,-74.148,1,100.0,100.0,0.0,SI,ASFALTO,SIN,2.0,BUENO
4.507,-74.113,6,100.0,100.0,33.33333333333333,SI,ASFALTO,SIN,3.0,BUENO
4.511,-74.115,25,72.0,84.0,52.0,SI,ASFALTO,CON,3.0,BUENO
4.515,-74.116,51,72.54901960784314,88.23529411764706,47.05882352941176,SI,ASFALTO,SIN,2.0,BUENO
4.517,-74.117,32,75.0,81.25,50.0,SI,ASFALTO,CON,2.0,BUENO
4.522,-74.118,14,71.42857142857143,92.85714285714286,50.0,SI,ASFALTO,CON,2.0,BUENO
4.527,-74.12,17,82.35294117647058,94.11764705882352,64.70588235294117,SI,ASFALTO,CON,2.0,BUENO
4.535,-74.091,9,33.33333333333333,100.0,66.66666666666666,NO,ASFALTO,CON,2.0,BUENO
4.543,-74.088,3,100.0,66.66666666666666,0.0,SI,ASFALTO,SIN,1.0,BUENO
4.544,-74.121,70,90.0,81.42857142857143,45.714285714285715,SI,ASFALTO,SIN,2.0,BUENO
4.544,-74.084,4,100.0,100.0,100.0,SI,ASFALTO,CON,1.0,BUENO
4.545,-74.136,28,71.42857142857143,92.85714285714286,39.285714285714285,SI,ASFALTO,SIN,3.0,BUENO
4.546,-74.137,46,71.73913043478261,93.47826086956522,45.65217391304348,SI,ASFALTO,SIN,3.0,BUENO
4.549,-74.113,13,69.23076923076923,100.0,61.53846153846154,SI,ASFALTO,CON,2.0,BUENO
4.551,-74.137,16,68.75,87.5,56.25,SI,ASFALTO,CON,3.0,BUENO
4.553,-74.139,18,61.111111111111114,72.22222222222221,33.33333333333333,SI,ASFALTO,SIN,2.0,BUENO
4.553,-74.137,39,79.48717948717949,94.87179487179486,33.33333333333333,SI,ASFALTO,SIN,3.0,BUENO
4.555,-74.138,68,79.41176470588235,95.58823529411765,48.529411764705884,SI,ASFALTO,SIN,3.0,BUENO
4.555,-74.12,6,66.66666666666666,100.0,66.66666666666666,SI,ASFALTO,CON,2.0,BUENO
4.557,-74.096,18,44.44444444444444,100.0,50.0,NO,ASFALTO,CON,2.0,BUENO
4.562,-74.144,7,71.42857142857143,85.71428571428571,42.857142857142854,SI,ASFALTO,SIN,2.0,BUENO
4.563,-74.142,5,100.0,100.0,60.0,SI,ASFALTO,CON,2.0,BUENO
4.564,-74.125,35,91.42857142857143,100.0,22.857142857142858,SI,ASFALTO,SIN,2.0,BUENO
4.566,-74.146,9,88.88888888888889,66.66666666666666,11.11111111111111,SI,ASFALTO,SIN,2.0,BUENO
4.566,-74.103,29,75.86206896551724,96.55172413793103,44.827586206896555,SI,ASFALTO,SIN,2.0,BUENO
4.567,-74.144,56,85.71428571428571,92.85714285714286,55.35714285714286,SI,ASFALTO,CON,3.0,BUENO
4.567,-74.126,29,75.86206896551724,93.10344827586206,41.37931034482759,SI,ASFALTO,SIN,2.0,BUENO
4.567,-74.094,16,87.5,93.75,56.25,SI,ASFALTO,CON,1.5,BUENO
4.568,-74.126,11,72.72727272727273,90.9090909090909,36.36363636363637,SI,ASFALTO,SIN,2.0,BUENO
4.568,-74.094,7,100.0,100.0,28.57142857142857,SI,ASFALTO,SIN,2.0,BUENO
4.57,-74.148,25,72.0,100.0,36.0,SI,ASFALTO,SIN,3.0,BUENO
4.57,-74.095,47,76.59574468085107,95.74468085106383,65.95744680851064,SI,ASFALTO,CON,2.0,BUENO
4.571,-74.149,35,91.42857142857143,94.28571428571428,45.714285714285715,SI,ASFALTO,SIN,3.0,BUENO
4.572,-74.151,55,89.0909090909091,96.36363636363636,38.18181818181819,SI,ASFALTO,SIN,2.0,BUENO
4.572,-74.098,44,84.0909090909091,90.9090909090909,56.81818181818182,SI,ASFALTO,CON,2.0,BUENO
4.573,-74.139,96,86.45833333333334,95.83333333333334,42.70833333333333,SI,ASFALTO,SIN,3.0,BUENO
4.575,-74.094,16,62.5,100.0,43.75,SI,ASFALTO,SIN,3.0,BUENO
4.577,-74.141,85,84.70588235294117,96.47058823529412,43.529411764705884,SI,ASFALTO,SIN,3.0,BUENO
4.579,-74.143,25,88.0,100.0,48.0,SI,ASFALTO,SIN,2.0,BUENO
4.579,-74.125,40,82.5,100.0,35.0,SI,ASFALTO,SIN,2.0,BUENO
4.581,-74.155,19,78.94736842105263,100.0,36.84210526315789,SI,ASFALTO,SIN,2.0,BUENO
4.581,-74.142,100,89.0,97.0,43.0,SI,ASFALTO,SIN,2.0,BUENO
4.581,-74.103,11,90.9090909090909,100.0,63.63636363636363,SI,ASFALTO,CON,2.0,BUENO
4.581,-74.102,83,89.1566265060241,97.59036144578313,42.168674698795186,SI,ASFALTO,SIN,3.0,BUENO
4.582,-74.09,42,88.09523809523809,85.71428571428571,47.61904761904761,SI,ASFALTO,SIN,2.0,BUENO
4.583,-74.113,19,94.73684210526315,89.47368421052632,42.10526315789473,SI,ASFALTO,SIN,2.0,BUENO
4.585,-74.137,9,100.0,77.77777777777779,44.44444444444444,SI,ASFALTO,SIN,2.0,BUENO
4.587,-74.086,17,94.11764705882352,76.47058823529412,47.05882352941176,SI,ASFALTO,SIN,2.0,BUENO
4.588,-74.161,14,71.42857142857143,100.0,50.0,SI,ASFALTO,CON,3.0,BUENO
4.588,-74.145,40,90.0,97.5,42.5,SI,ASFALTO,SIN,2.5,BUENO
4.589,-74.167,1,0.0,100.0,0.0,NO,ASFALTO,SIN,3.0,BUENO
4.589,-74.1,18,94.44444444444444,100.0,50.0,SI,ASFALTO,CON,2.0,BUENO
4.59,-74.071,12,83.33333333333334,100.0,41.66666666666667,SI,ASFALTO,SIN,2.0,BUENO
4.591,-74.137,14,85.71428571428571,100.0,42.857142857142854,SI,ASFALTO,SIN,1.5,BUENO
4.591,-74.084,35,85.71428571428571,88.57142857142857,57.14285714285714,SI,ASFALTO,CON,2.0,BUENO
4.592,-74.142,28,96.42857142857143,100.0,50.0,SI,ASFALTO,CON,2.0,BUENO
4.592,-74.107,34,88.23529411764706,100.0,38.23529411764706,SI,ASFALTO,SIN,2.0,BUENO
4.594,-74.134,12,83.33333333333334,83.33333333333334,66.66666666666666,SI,ASFALTO,CON,3.0,BUENO
4.594,-74.13,11,63.63636363636363,54.54545454545454,36.36363636363637,SI,ASFALTO,SIN,3.0,BUENO
4.594,-74.127,23,73.91304347826086,95.65217391304348,52.17391304347826,SI,ASFALTO,CON,2.0,BUENO
4.595,-74.141,32,75.0,93.75,40.625,SI,ASFALTO,SIN,2.0,BUENO
4.595,-74.138,35,68.57142857142857,91.42857142857143,45.714285714285715,SI,ASFALTO,SIN,3.0,BUENO
4.596,-74.172,9,88.88888888888889,88.88888888888889,55.55555555555556,SI,ASFALTO,CON,3.0,BUENO
4.596,-74.158,27,77.77777777777779,77.77777777777779,51.85185185185185,SI,ASFALTO,CON,3.0,BUENO
4.596,-74.113,37,94.5945945945946,97.2972972972973,62.16216216216216,SI,ASFALTO,CON,3.0,BUENO
4.596,-74.11,36,83.33333333333334,97.22222222222221,27.77777777777778,SI,ASFALTO,SIN,2.0,BUENO
4.596,-74.096,8,87.5,100.0,75.0,SI,ASFALTO,CON,1.5,BUENO
4.597,-74.175,43,74.4186046511628,83.72093023255815,53.48837209302325,SI,ASFALTO,CON,3.0,BUENO
4.597,-74.145,40,72.5,97.5,40.0,SI,ASFALTO,SIN,3.0,BUENO
4.597,-74.085,97,96.90721649484536,88.65979381443299,46.391752577319586,SI,ASFALTO,SIN,2.0,BUENO
4.598,-74.145,38,63.1578947368421,97.36842105263158,52.63157894736842,SI,ASFALTO,CON,2.0,BUENO
4.598,-74.084,32,93.75,93.75,37.5,SI,ASFALTO,SIN,2.0,BUENO
4.599,-74.145,130,86.92307692307692,98.46153846153847,56.15384615384615,SI,ASFALTO,CON,2.0,BUENO
4.601,-74.182,13,84.61538461538461,100.0,30.76923076923077,SI,ASFALTO,SIN,2.0,BUENO
4.602,-74.134,23,73.91304347826086,95.65217391304348,39.130434782608695,SI,ASFALTO,SIN,2.0,BUENO
