LOCALIDAD,cantidad_siniestros,criticidad_total,criticidad_promedio
KENNEDY,30716,57196,1.8620914181534054
ENGATIVA,27782,45642,1.6428622849326902
SUBA,24672,41484,1.681420233463035
USAQUEN,25806,37054,1.4358676276834845
FONTIBON,22135,33835,1.5285746555229276
PUENTE ARANDA,17872,31052,1.7374664279319607
CHAPINERO,16834,24594,1.460971842699299
BOSA,11654,23442,2.01149819804359
TEUSAQUILLO,13694,21562,1.574558200671827
BARRIOS UNIDOS,13681,21385,1.563116731233097
CIUDAD BOLIVAR,10095,20535,2.0341753343239226
LOS MARTIRES,8135,14507,1.783282114320836
RAFAEL URIBE URIBE,6715,14083,2.0972449739389427
SANTA FE,7440,13400,1.8010752688172043
TUNJUELITO,6665,13173,1.9764441110277569
SAN CRISTOBAL,6224,13136,2.1105398457583546
USME,5060,10352,2.0458498023715417
ANTONIO NARIÑO,4451,8615,1.9355201078409345
CANDELARIA,1200,2032,1.6933333333333334
