LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante
4.632,-74.154,484,736,1.5206611570247934,KENNEDY,CIUDAD KENNEDY NORTE,SIN_NMG,CHOQUE,SOLO DANOS
4.631,-74.138,453,693,1.5298013245033113,KENNEDY,LAS DOS AVENIDAS,AVENIDA BOYACA,CHOQUE,SOLO DANOS
4.562,-74.139,468,692,1.4786324786324787,CIUDAD BOLIVAR,RONDA,AVENIDA BOYACA,CHOQUE,SOLO DANOS
4.597,-74.179,466,686,1.4721030042918455,BOSA,CORREDOR FERREO DEL SUR,AVENIDA DEL SUR,CHOQUE,SOLO DANOS
4.645,-74.132,396,644,1.6262626262626263,KENNEDY,NUEVO TECHO,AVENIDA BOYACA,CHOQUE,SOLO DANOS
4.679,-74.12,442,574,1.2986425339366516,FONTIBON,SANTA CECILIA,AVENIDA CIUDAD DE CALI,CHOQUE,SOLO DANOS
4.597,-74.18,366,554,1.5136612021857923,BOSA,CORREDOR FERREO DEL SUR,AVENIDA DEL SUR,CHOQUE,SOLO DANOS
4.64,-74.116,306,542,1.7712418300653594,PUENTE ARANDA,GRANJAS DE TECHO,AVENIDA DEL CONGRESO EUCARISTICO,CHOQUE,SOLO DANOS
4.628,-74.171,260,528,2.0307692307692307,KENNEDY,LAS MARGARITAS,AVENIDA CIUDAD DE CALI,CHOQUE,SOLO DANOS
4.624,-74.124,312,516,1.6538461538461537,PUENTE ARANDA,HIPOTECHO SUR,AVENIDA DEL CONGRESO EUCARISTICO,CHOQUE,SOLO DANOS
4.596,-74.164,312,496,1.5897435897435896,BOSA,OLARTE,AVENIDA DEL SUR,CHOQUE,SOLO DANOS
4.722,-74.121,312,488,1.564102564102564,ENGATIVA,EL CORTIJO,AVENIDA MEDELLIN,CHOQUE,SOLO DANOS
4.696,-74.09,362,486,1.3425414364640884,ENGATIVA,EL MINUTO DE DIOS,AVENIDA MEDELLIN,CHOQUE,SOLO DANOS
4.711,-74.072,318,486,1.528301886792453,SUBA,NIZA NORTE,AVENIDA RODRIGO LARA BONILLA,CHOQUE,SOLO DANOS
4.659,-74.136,346,482,1.393063583815029,FONTIBON,CIUDAD HAYUELOS,AVENIDA CENTENARIO,CHOQUE,SOLO DANOS
4.647,-74.065,222,482,2.171171171171171,CHAPINERO,CHAPINERO OCCIDENTAL,AVENIDA CARACAS,CHOQUE,CON HERIDOS
4.649,-74.127,376,476,1.2659574468085106,FONTIBON,INTERINDUSTRIAL,AVENIDA CENTENARIO,CHOQUE,SOLO DANOS
4.635,-74.079,276,472,1.710144927536232,TEUSAQUILLO,BELALCAZAR,AVENIDA CIUDAD DE QUITO,CHOQUE,SOLO DANOS
4.752,-74.047,330,462,1.4,USAQUEN,LA URIBE,AVENIDA PASEO DE LOS LIBERTADORES,CHOQUE,SOLO DANOS
4.695,-74.089,330,458,1.387878787878788,ENGATIVA,SANTA ROSA,AVENIDA BOYACA,CHOQUE,SOLO DANOS
