rank_IPI,IPI,LAT_ZONA,LON_ZONA,prioridad_IPI,familia_analitica,tipo_hotspot,cantidad_siniestros,criticidad_total,criticidad_promedio,anios_activos,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante
1,96.27553998832458,4.576,-74.155,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,108,296,2.740740740740741,4,32,58,18,CIUDAD BOLIVAR,VERONA,AVENIDA CIUDAD DE VILLAVICENCIO,CHOQUE,CON HERIDOS
2,95.77816695855225,4.602,-74.081,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,96,244,2.5416666666666665,4,32,54,10,SANTA FE,VOTO NACIONAL,AVENIDA CARACAS,ATROPELLO,CON HERIDOS
3,95.68943374197315,4.602,-74.077,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,94,238,2.5319148936170213,4,28,60,6,SANTA FE,LA CAPUCHINA,AVENIDA FERNANDO MAZUERA,ATROPELLO,CON HERIDOS
4,95.08464681844717,4.605,-74.075,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,86,206,2.395348837209302,4,32,48,6,SANTA FE,VERACRUZ,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS
5,94.99416228838295,4.642,-74.191,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,24,80,3.3333333333333335,4,0,20,4,BOSA,EL CORZO I,SIN_NMG,CHOQUE,CON HERIDOS
6,94.96555750145944,4.607,-74.13,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,60,152,2.533333333333333,4,24,26,10,PUENTE ARANDA,TEJAR,AVENIDA DEL CONGRESO EUCARISTICO,CHOQUE,CON HERIDOS
7,94.70110916520724,4.611,-74.075,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot severo,182,422,2.318681318681319,4,66,112,4,SANTA FE,SANTA FE,AVENIDA CARACAS,CHOQUE,CON HERIDOS
8,94.63631056625802,4.576,-74.12,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,92,236,2.5652173913043477,4,22,68,2,RAFAEL URIBE URIBE,QUIROGA SUR,AVENIDA CARACAS,ATROPELLO,CON HERIDOS
9,94.57501459427904,4.618,-74.17,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,48,132,2.75,4,10,34,4,KENNEDY,CASABLANCA,AVENIDA AGOBERTO MEJIA CIFUENTES,CHOQUE,CON HERIDOS
10,94.45534150612961,4.512,-74.115,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,68,160,2.3529411764705883,4,26,38,4,USME,LA ANDREA,AVENIDA CARACAS,CHOQUE,CON HERIDOS
11,94.45359019264447,4.576,-74.095,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,148,332,2.2432432432432434,4,60,84,4,SAN CRISTOBAL,VEINTE DE JULIO,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS
12,94.44775248102744,4.609,-74.072,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,58,142,2.4482758620689653,4,22,30,6,SANTA FE,LAS NIEVES,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS
13,94.43724460011677,4.647,-74.065,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot severo,222,482,2.171171171171171,4,100,114,8,CHAPINERO,CHAPINERO OCCIDENTAL,AVENIDA CARACAS,CHOQUE,CON HERIDOS
14,94.41039112667833,4.592,-74.116,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,100,228,2.28,4,42,52,6,ANTONIO NARIÑO,EDUARDO FREY,AVENIDA JORGE GAITAN CORTES,CHOQUE,CON HERIDOS
15,94.26094570928197,4.586,-74.094,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,62,146,2.3548387096774195,4,24,34,4,ANTONIO NARIÑO,CIUDAD BERNA,AVENIDA CARACAS,CHOQUE,CON HERIDOS
16,94.24868651488616,4.619,-74.143,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,60,144,2.4,4,22,34,4,KENNEDY,CIUDAD KENNEDY ORIENTAL,AVENIDA PRIMERO DE MAYO,CHOQUE,CON HERIDOS
17,94.18213660245185,4.644,-74.066,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,72,168,2.3333333333333335,4,28,40,4,CHAPINERO,CHAPINERO CENTRAL,AVENIDA GILBERTO ALZATE AVENDAÑO,CHOQUE,CON HERIDOS
18,94.1249270286048,4.606,-74.126,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,56,136,2.4285714285714284,4,20,32,4,PUENTE ARANDA,SAN EUSEBIO,SIN_NMG,CHOQUE,CON HERIDOS
19,94.12434325744307,4.577,-74.141,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,134,290,2.1641791044776117,4,62,66,6,TUNJUELITO,MUZU,AVENIDA BOYACA,CHOQUE,CON HERIDOS
20,94.12200817279628,4.586,-74.131,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,54,134,2.4814814814814814,4,18,32,4,TUNJUELITO,SAMORE,AVENIDA JORGE GAITAN CORTES,CHOQUE,CON HERIDOS
21,94.11441914769411,4.573,-74.139,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot severo,158,334,2.1139240506329116,4,78,72,8,TUNJUELITO,PARQUE EL TUNAL,AVENIDA MARISCAL SUCRE,CHOQUE,SOLO DANOS
22,94.10391126678344,4.574,-74.153,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,58,138,2.3793103448275863,4,22,32,4,CIUDAD BOLIVAR,ARBORIZADORA BAJA,AVENIDA CIUDAD DE VILLAVICENCIO,CHOQUE,CON HERIDOS
