lat_grid,lon_grid,rank_IPI_base,IPI_base,cantidad_siniestros_base,siniestros_con_muertos_base,criticidad_total_base,familia_analitica_base,localidad_modal_base,rank_IPI_rec,IPI_rec,cantidad_siniestros_rec,siniestros_con_muertos_rec,criticidad_total_rec,familia_analitica_rec,localidad_modal_rec,en_top50_base,en_top200_base,en_top500_base,en_top200_rec,en_top500_rec,categoria_persistencia,sensible_fatalidad,n_siniestros_zona,condicion_predominante,pct_conductor,pct_motociclista,pct_pasajero,pct_peaton,pct_ciclista,cobertura_actor_pct,hhi_actor,vehiculo_predominante,pct_automovil,pct_motocicleta,pct_camioneta,pct_bus,pct_bicicleta,cobertura_vehiculo_pct,hhi_vehiculo,causa_top1,causa_top1_pct,causa_top2,causa_top2_pct,causa_top3,causa_top3_pct,cobertura_causa_pct,hhi_causa,rank_IPI_rec_top200,IPI_rec_top200,familia_top200,tipo_intervencion
4.603,-74.162,3443.0,71.95388207822533,16.0,0.0,40.0,Seguimiento,BOSA,1.0,97.33919654170084,13.0,4.0,43.0,Hotspot robusto integral,BOSA,False,False,False,True,True,Emergente,True,13.0,CONDUCTOR,61.3,9.7,16.1,9.7,3.2,100.0,4214.4,AUTOMOVIL,36.4,27.3,4.5,4.5,4.5,92.3,2396.7,NO MANTENER DISTANCIA DE SEGURIDAD,22.7,FALTA DE SEÑALES EN VEHICULO VARADO,13.6,EXCESO DE VELOCIDAD,13.6,92.3,1487.6,1.0,97.33919654170084,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.621,-74.165,7292.0,55.79392877991827,12.0,0.0,12.0,Seguimiento,KENNEDY,3.0,96.87187895952896,12.0,3.0,38.0,Hotspot robusto integral,KENNEDY,False,False,False,True,True,Emergente,True,12.0,CONDUCTOR,53.6,17.9,3.6,21.4,3.6,100.0,3673.5,MOTOCICLETA,35.0,40.0,5.0,5.0,10.0,100.0,3000.0,TRANSITAR ENTRE VEHICULOS,28.6,OTRA,28.6,OTRAS,14.3,83.3,2142.9,3.0,96.87187895952896,Hotspot robusto integral,MANIOBRA_PELIGROSA
4.555,-74.12,4212.0,69.32632807939288,6.0,2.0,18.0,Seguimiento,RAFAEL URIBE URIBE,4.0,96.39487217708876,22.0,2.0,66.0,Hotspot robusto integral,RAFAEL URIBE URIBE,False,False,False,True,True,Emergente,True,22.0,CONDUCTOR,55.1,16.3,10.2,10.2,8.2,100.0,3577.7,MOTOCICLETA,17.9,30.8,17.9,17.9,12.8,100.0,2084.2,DESOBEDECER SEÑALES,50.0,OTRA,22.2,EMBRIAGUEZ APARENTE,11.1,100.0,3209.9,4.0,96.39487217708876,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.591,-74.137,5908.0,61.956800934033865,18.0,0.0,26.0,Seguimiento,TUNJUELITO,5.0,96.32704777521056,11.0,2.0,37.0,Hotspot robusto integral,TUNJUELITO,False,False,False,True,True,Emergente,True,11.0,CONDUCTOR,63.6,22.7,0.0,4.5,9.1,100.0,4669.4,MOTOCICLETA,19.0,47.6,9.5,0.0,19.0,100.0,3106.6,DESOBEDECER SEÑALES,54.2,OTRA,25.0,TRANSITAR UNO AL LADO DEL OTRO,12.5,100.0,3784.7,5.0,96.32704777521056,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.597,-74.085,89.0,92.40980735551663,136.0,4.0,272.0,Hotspot robusto integral,LOS MARTIRES,14.0,94.5233658791086,46.0,2.0,116.0,Hotspot robusto integral,LOS MARTIRES,False,True,True,True,True,Persistente,True,46.0,CONDUCTOR,63.1,17.1,6.3,9.9,3.6,100.0,4420.9,MOTOCICLETA,33.0,34.1,9.1,9.1,6.8,97.8,2497.4,SEMÁFORO EN ROJO,32.1,OTRA,25.6,NO MANTENER DISTANCIA DE SEGURIDAD,14.1,95.7,1992.1,14.0,94.5233658791086,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.587,-74.086,2573.0,74.48686514886165,28.0,0.0,64.0,Seguimiento,SAN CRISTOBAL,17.0,94.34523365879107,22.0,4.0,60.0,Hotspot robusto integral,SAN CRISTOBAL,False,False,False,True,True,Emergente,True,22.0,CONDUCTOR,71.7,13.0,2.2,6.5,6.5,100.0,5406.4,AUTOMOVIL,42.9,26.2,0.0,11.9,11.9,100.0,2823.1,NO MANTENER DISTANCIA DE SEGURIDAD,48.4,OTRA,25.8,SEMÁFORO EN ROJO,16.1,90.9,3298.6,17.0,94.34523365879107,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.555,-74.138,176.0,91.0642148277875,138.0,6.0,258.0,Hotspot robusto integral,CIUDAD BOLIVAR,19.0,94.20138630096146,32.0,4.0,78.0,Hotspot robusto integral,CIUDAD BOLIVAR,False,True,True,True,True,Persistente,True,32.0,CONDUCTOR,75.0,13.9,5.6,2.8,2.8,100.0,5864.2,AUTOMOVIL,28.8,27.3,9.1,6.1,6.1,100.0,1974.3,NO MANTENER DISTANCIA DE SEGURIDAD,33.3,ADELANTAR CERRANDO,25.5,TRANSITAR ENTRE VEHICULOS,17.6,96.9,2241.4,19.0,94.20138630096146,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.546,-74.137,1942.0,76.49562171628722,90.0,0.0,138.0,Seguimiento,CIUDAD BOLIVAR,20.0,94.17828128493704,41.0,2.0,101.0,Hotspot robusto integral,CIUDAD BOLIVAR,False,False,False,True,True,Emergente,True,41.0,CONDUCTOR,65.6,13.3,13.3,7.8,0.0,100.0,4713.6,MOTOCICLETA,23.2,33.3,8.7,14.5,0.0,100.0,2052.1,ADELANTAR CERRANDO,22.1,OTRA,20.6,ADELANTAR POR LA DERECHA,13.2,92.7,1336.5,20.0,94.17828128493704,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.683,-74.098,620.0,86.83362521891421,34.0,4.0,62.0,Seguimiento,ENGATIVA,22.0,94.1082209137661,25.0,2.0,65.0,Hotspot robusto integral,ENGATIVA,False,False,False,True,True,Emergente,True,25.0,CONDUCTOR,73.3,22.2,0.0,0.0,4.4,100.0,5891.4,MOTOCICLETA,18.6,44.2,14.0,2.3,7.0,100.0,2612.2,HUECOS,35.1,OTRA,26.3,ADELANTAR CERRANDO,12.3,100.0,2237.6,22.0,94.1082209137661,Hotspot robusto integral,INFRAESTRUCTURA_VÍA
4.567,-74.094,612.0,86.89550496205489,28.0,2.0,56.0,Seguimiento,SAN CRISTOBAL,26.0,93.78251472013118,8.0,1.0,26.0,Hotspot robusto integral,SAN CRISTOBAL,False,False,False,True,True,Emergente,True,8.0,CONDUCTOR,47.1,29.4,5.9,17.6,0.0,100.0,3425.6,MOTOCICLETA,15.4,61.5,0.0,15.4,0.0,100.0,4319.5,DESOBEDECER SEÑALES,44.4,NO MANTENER DISTANCIA DE SEGURIDAD,33.3,CRUZAR EN ESTADO DE EMBRIAGUEZ,11.1,87.5,3333.3,26.0,93.78251472013118,Hotspot robusto integral,CONTROL_SEMAFÓRICO
