LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante,criticidad_2016,criticidad_2017,criticidad_2018,criticidad_2019,anios_activos,tipo_hotspot,prioridad_intervencion,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,criticidad_fatalidad_alta,rank_base,rank_fatalidad_alta,variacion_ranking_fatalidad,score_volumen,score_criticidad_total,score_severidad_promedio,score_persistencia,score_fatalidad,IPI,rank_IPI,prioridad_IPI,rank_criticidad_total,rank_volumen,rank_muertes,familia_analitica
4.722,-74.051,22,42,1.9090909090909092,SUBA,LOS CEDROS,AVENIDA PASEO DE LOS LIBERTADORES,CHOQUE,SOLO DANOS,2.0,18.0,2.0,20.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,16,2,4,126,2687.0,1221.0,1466.0,0.8262113251605371,0.83861646234676,0.5838879159369527,1.0,0.9885872737886748,84.7460595446585,873,Seguimiento,2696,2856,284,Seguimiento
4.709,-74.08,20,28,1.4,SUBA,NIZA SUR,AVENIDA BOYACA,CHOQUE,SOLO DANOS,2.0,12.0,14.0,0.0,3,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,0,2,68,4096.0,2783.0,1313.0,0.8069468768242849,0.7522183304144775,0.3613543490951547,0.75,0.9427904261529481,72.2661996497373,3214,Seguimiento,4168,3257,1326,Seguimiento
4.725,-74.124,20,28,1.4,ENGATIVA,EL DORADO INDUSTRIAL,AVENIDA MEDELLIN,CHOQUE,SOLO DANOS,2.0,14.0,4.0,8.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,0,2,68,4096.0,2783.0,1313.0,0.8069468768242849,0.7522183304144775,0.3613543490951547,1.0,0.9427904261529481,77.26619964973732,1723,Seguimiento,4122,3189,1203,Seguimiento
4.564,-74.087,22,50,2.272727272727273,SAN CRISTOBAL,MONTEBELLO,SIN_NMG,CHOQUE,SOLO DANOS,10.0,20.0,8.0,12.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,6,4,142,2218.0,1026.0,1192.0,0.8262113251605371,0.8677758318739054,0.7512842965557501,1.0,0.9885872737886748,88.67717454757734,410,Prioridad 3 - Monitoreo y gestión preventiva,2219,2839,207,Hotspot preventivo prioritario
4.66,-74.137,20,32,1.6,FONTIBON,VEREDA EL TINTAL,AVENIDA CENTENARIO,CHOQUE,SOLO DANOS,6.0,2.0,14.0,10.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,16,2,2,76,3611.0,2424.0,1187.0,0.8069468768242849,0.7823117338003502,0.44527145359019266,1.0,0.9427904261529481,79.54640980735552,1317,Seguimiento,3634,3171,1129,Seguimiento
4.704,-74.134,20,32,1.6,ENGATIVA,MARANDU,SIN_NMG,CHOQUE,SOLO DANOS,12.0,6.0,10.0,4.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,16,2,2,76,3611.0,2424.0,1187.0,0.8069468768242849,0.7823117338003502,0.44527145359019266,1.0,0.9427904261529481,79.54640980735552,1318,Seguimiento,3635,3172,1130,Seguimiento
4.718,-74.028,20,32,1.6,USAQUEN,CEDRO NARVAEZ,AVENIDA ALBERTO LLERAS CAMARGO,CHOQUE,SOLO DANOS,14.0,10.0,6.0,2.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,16,2,2,76,3611.0,2424.0,1187.0,0.8069468768242849,0.7823117338003502,0.44527145359019266,1.0,0.9427904261529481,79.54640980735552,1319,Seguimiento,3636,3173,1131,Seguimiento
4.609,-74.128,20,32,1.6,PUENTE ARANDA,TEJAR,AVENIDA PRIMERO DE MAYO,CHOQUE,SOLO DANOS,12.0,14.0,2.0,4.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,16,2,2,76,3611.0,2424.0,1187.0,0.8069468768242849,0.7823117338003502,0.44527145359019266,1.0,0.9427904261529481,79.54640980735552,1320,Seguimiento,3637,3174,1132,Seguimiento
4.682,-74.082,20,52,2.6,BARRIOS UNIDOS,METROPOLIS,AVENIDA DEL CONGRESO EUCARISTICO,CHOQUE,CON HERIDOS,10.0,2.0,18.0,22.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,8,8,4,148,2116.0,951.0,1165.0,0.8069468768242849,0.8736135434909515,0.8236135434909515,1.0,0.9885872737886748,89.85522475189725,282,Prioridad 3 - Monitoreo y gestión preventiva,2117,3134,182,Hotspot preventivo prioritario
4.63,-74.13,22,30,1.3636363636363635,KENNEDY,MARSELLA,AVENIDA DE LAS AMERICAS,CHOQUE,SOLO DANOS,16.0,10.0,2.0,2.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,20,0,2,70,3850.0,2685.0,1165.0,0.8262113251605371,0.7681552831290134,0.34711033274956216,1.0,0.9427904261529481,77.68534734384122,1669,Seguimiento,3877,2897,1196,Seguimiento
